ma_xa;ten_xa;loai;ma_huyen;ten_huyen;dan_so;Income(mil. VND);pop_serve(after);pop_serve_air(after);%serve;LOS;;Income;;;;dan_so (person);Income (Mil. VND);LOS;;;;;;;;;;;;;;;;;;;;;;
22516;Vạn Thắng;Xã;571;Vạn Ninh;18592;100,748708333333;949;1084;5,1%;F;;higher-middle income;;;;18592;100,748708333333;F;;;;;;;;;;;;;;;;;;;;;;
22504;Vạn Thọ;Xã;571;Vạn Ninh;5424;62,5962;4155;4859;76,6%;C;;low-income;;;;5424;62,5962;C;;;;;;;;;;;;;;;;;;;;;;
22522;Xuân Sơn;Xã;571;Vạn Ninh;3495;100,748708333333;0;0;0,0%;F;;higher-middle income;;;;3495;100,748708333333;F;;;;;;;;;;;;;;;;;;;;;;
22540;Ninh An;Xã;572;Ninh Hòa;14404;136,014666666667;2997;3535;20,8%;F;;higher-middle income;;;;14404;136,014666666667;F;;;;;;;;;;;;;;;;;;;;;;
22576;Ninh Bình;Xã;572;Ninh Hòa;13347;98,343125;3645;4142;27,3%;F;;lower-middle income;;;;13347;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22561;Ninh Diêm;Phường;572;Ninh Hòa;10999;98,343125;9253;9340;84,1%;B;;lower-middle income;;;;10999;98,343125;B;;;;;;;;;;;;;;;;;;;;;;
22570;Ninh Đa;Phường;572;Ninh Hòa;10956;140,024;6647;6837;60,7%;D;;higher-middle income;;;;10956;140,024;D;;;;;;;;;;;;;;;;;;;;;;
22564;Ninh Đông;Xã;572;Ninh Hòa;4995;95,37925;5;5;0,1%;F;;lower-middle income;;;;4995;95,37925;F;;;;;;;;;;;;;;;;;;;;;;
22591;Ninh Giang;Phường;572;Ninh Hòa;9269;98,343125;3602;3623;38,9%;F;;lower-middle income;;;;9269;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22594;Ninh Hà;Phường;572;Ninh Hòa;6095;98,343125;1108;1315;18,2%;F;;lower-middle income;;;;6095;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
22543;Ninh Hải;Phường;572;Ninh Hòa;6870;98,343125;2977;3033;43,3%;F;;lower-middle income;;;;6870;98,343125;F;;;;;;;;;;;;;;;;;;;;;;
